"Stock","Model"
"Bigeye","M0.26_h0.7_BAI"
"Bigeye","M0.26_h0.7_PS"
"Bigeye","M0.26_h0.8_BAI"
"Bigeye","M0.26_h0.8_PS"
"Bigeye","M0.26_h0.9_BAI"
"Bigeye","M0.26_h0.9_PS"
"Bigeye","M0.32_h0.7_BAI"
"Bigeye","M0.32_h0.7_PS"
"Bigeye","M0.32_h0.8_BAI"
"Bigeye","M0.32_h0.8_PS"
"Bigeye","M0.32_h0.9_BAI"
"Bigeye","M0.32_h0.9_PS"
"Bigeye","M0.39_h0.7_BAI"
"Bigeye","M0.39_h0.7_PS"
"Bigeye","M0.39_h0.8_BAI"
"Bigeye","M0.39_h0.8_PS"
"Bigeye","M0.39_h0.9_BAI"
"Bigeye","M0.39_h0.9_PS"
"Skipjack","noBuoy_25thGrowth_h0.7"
"Skipjack","noBuoy_25thGrowth_h0.8"
"Skipjack","noBuoy_25thGrowth_h0.9"
"Skipjack","noBuoy_50thGrowth_h0.7"
"Skipjack","noBuoy_50thGrowth_h0.8"
"Skipjack","noBuoy_50thGrowth_h0.9"
"Skipjack","noBuoy_75thGrowth_h0.7"
"Skipjack","noBuoy_75thGrowth_h0.8"
"Skipjack","noBuoy_75thGrowth_h0.9"
"Skipjack","noPS_25thGrowth_h0.7"
"Skipjack","noPS_25thGrowth_h0.8"
"Skipjack","noPS_25thGrowth_h0.9"
"Skipjack","noPS_50thGrowth_h0.7"
"Skipjack","noPS_50thGrowth_h0.8"
"Skipjack","noPS_50thGrowth_h0.9"
"Skipjack","noPS_75thGrowth_h0.7"
"Skipjack","noPS_75thGrowth_h0.8"
"Skipjack","noPS_75thGrowth_h0.9"
"Yellowfin","22_ref_case_highM_h07"
"Yellowfin","22_ref_case_highM_h08"
"Yellowfin","22_ref_case_highM_h09"
"Yellowfin","22_ref_case_lowM_h07"
"Yellowfin","22_ref_case_lowM_h08"
"Yellowfin","22_ref_case_lowM_h09"
"Yellowfin","22_ref_case_midM_h07"
"Yellowfin","22_ref_case_midM_h08"
"Yellowfin","22_ref_case_midM_h09"
